run set,boolector.boolector,boolector.boolector,boolector.boolector,boolector.boolector,cvc4.cvc4,cvc4.cvc4,cvc4.cvc4,cvc4.cvc4,q3b.q3b,q3b.q3b,q3b.q3b,q3b.q3b,z3.z3,z3.z3,z3.z3,z3.z3
../benchmarks/bv/,status,cputime (s),walltime (s),memUsage,status,cputime (s),walltime (s),memUsage,status,cputime (s),walltime (s),memUsage,status,cputime (s),walltime (s),memUsage
2018-Preiner-cav18/check_bvsge_bvlshr1_64bit.smt2,unsat,0.673336178,0.34756665399999065,9297920,unsat,0.114976226,0.12211755104362965,14794752,unsat,0.072580443,0.042501864008954726,34856960,unsat,0.031434474,0.050402501999997185,3788800
2018-Preiner-cav18/check_bvsge_bvmul_32bit.smt2,TIMEOUT (timeout),1201.932399063,608.218775889,608145408,TIMEOUT (timeout),1201.034120232,1201.0888005460147,3376209920,unsat,0.167914019,0.10792240301088896,42713088,TIMEOUT (timeout),1200.53607378,1201.018564799,686411776
2018-Preiner-cav18/check_bvsge_bvmul_4bit.smt2,unsat,0.465443925,0.2468018860000143,8577024,unsat,0.018167655,0.022155277954880148,2076672,unsat,0.030412292,0.03099202500015963,23322624,unsat,0.008523031,0.01770268899997518,2347008
2018-Preiner-cav18/check_bvsge_bvmul_64bit.smt2,TIMEOUT (timeout),1201.905172194,608.852338793,1089748992,TIMEOUT (timeout),1201.099240408,1201.1548455929733,6090948608,unsat,0.723491255,0.3396592250064714,111337472,TIMEOUT (timeout),1201.014529361,1202.549602125,509980672
2018-Preiner-cav18/check_bvsge_bvneg_32bit.smt2,unsat,0.069390737,0.043542770999977165,1957888,unsat,0.010729514,0.01367565500549972,1818624,unsat,0.010956933,0.016815365001093596,1695744,unsat,0.019898796,0.04376916199998959,3002368
2018-Preiner-cav18/check_bvsge_bvneg_4bit.smt2,unsat,0.007252041,0.009802318999959425,909312,unsat,0.006213269,0.008681694976985455,1028096,unsat,0.006396848,0.008605686001828872,1695744,unsat,0.005146343,0.015069918999984111,2084864
2018-Preiner-cav18/check_bvsge_bvneg_64bit.smt2,unsat,0.10910465,0.06300566800001661,2220032,unsat,0.019999449,0.022382705006748438,2736128,unsat,0.006001376,0.009778313993592747,1695744,unsat,0.07698385,0.14001721400001088,6017024
2018-Preiner-cav18/check_bvsge_bvnot_32bit.smt2,unsat,0.009990611,0.009255084000017177,909312,unsat,0.008074998,0.010826517012901604,1425408,unsat,0.017698579,0.026303071004804224,1695744,unsat,0.005190631,0.01981388600000855,2084864
2018-Preiner-cav18/check_bvsge_bvnot_4bit.smt2,unsat,0.002770915,0.005275790000041525,647168,unsat,0.005323852,0.007998201996088028,1032192,unsat,0.012811018,0.023484356002882123,1695744,unsat,0.004527934,0.016090179000002536,2084864
2018-Preiner-cav18/check_bvsge_bvnot_64bit.smt2,unsat,0.019580404,0.015026802000022599,1040384,unsat,0.011034447,0.01328948000445962,1949696,unsat,0.012139798,0.019253388003562577,1695744,unsat,0.005064125,0.016570788999956676,2084864
